0,age,39
1,age,50
2,age,38
3,age,53
4,age,28
5,age,37
6,age,49
7,age,52
0,education,Bachelors
1,education,Bachelors
2,education,HS-grad
3,education,11th
4,education,Bachelors
5,education,Masters
6,education,?
7,education,HS-grad
0,employment,Clerical
1,employment,Managerial
2,employment,Unskilled
3,employment,Unskilled
4,employment,Professional
5,employment,Managerial
6,employment,Clerical
7,employment,Managerial
0,sex,Male
1,sex,Female
2,sex,Male
3,sex,Male
4,sex,Female
5,sex,Female
6,sex,Female
7,sex,Male
0,US-citizen,Yes
1,US-citizen,Yes
2,US-citizen,Yes
3,US-citizen,Yes
4,US-citizen,Yes
5,US-citizen,No
6,US-citizen,No
7,US-citizen,Yes
0,class,<=50K
1,class,<=50K
2,class,<=50K
3,class,<=50K
4,class,>50K
5,class,<=50K
6,class,<=50K
7,class,>50K
